Lauf Lillinghof;EDQI;N49°36'17'';E011°17'02''
Laufenselden;;N50°13'32'';E007°59'57''
Laupheim Mil;ETHL;N48°13'11'';E009°54'37''
Lauterbach;EDFT;N50°40'59'';E009°24'37''
Lechfeld Mil;ETSL;N48°11'08'';E010°51'40''
Leck;;N54°47'34'';E008°56'55''
Leer Nüttermoor;EDWF;N53°16'19'';E007°26'35''
Leibertingen;;N48°02'38'';E009°01'49''
Leipheim;EDSD;N48°26'21'';E010°14'02''
Leipzig;EDDP;N51°24'55'';E012°13'38''
Lemwerder;EDWD;N53°08'35'';E008°37'24''
Leutkirch Unterz;EDNL;N47°51'32'';E010°00'52''
Leuzendorf;;N49°21'07'';E010°04'31''
Leverkusen;EDKL;N51°00'55'';E007°00'22''
Lichtenfels;EDQL;N50°08'54'';E011°02'50''
Lindenberg;;N47°37'12'';E009°59'16''
Lindlar;;N50°59'40'';E007°22'20''
Linkenheim;EDRI;N49°08'28'';E008°23'41''
Löchgau;;N49°00'04'';E009°04'57''
Loffenau;;N48°45'42'';E008°24'29''
Löhne Schnathors;;N52°16'31'';E008°43'11''
Lübeck Blankense;EDHL;N53°48'19'';E010°43'09''
Lüchow Rehbeck;EDHC;N53°00'55'';E011°08'39''
Ludwigsburg Patto;;N48°52'43'';E009°14'29''
Ludwigshafen Dan;;N49°24'38'';E008°20'51''
Lüneburg;EDHG;N53°14'50'';E010°27'46''
Lünen Lippeweidn;;N51°37'03'';E007°30'06''
Lüsse;EDOJ;N52°08'30'';E012°39'44''
Magdeburg;EDBM;N52°04'35'';E011°37'25''
Mainbullau;EDFU;N49°41'42'';E009°10'55''
Mainz Finthen;EDFZ;N49°58'07'';E008°08'52''
Malmsheim;;N48°46'58'';E008°55'06''
Malsch;;N49°14'14'';E008°40'42''
Manching Mil;;N48°43'15'';E011°31'50''
Mannheim Neuostheim;EDFM;N49°28'21'';E008°30'56''
Marburg Schönst;EDFN;N50°52'26'';E008°48'49''
Markdorf;;N47°42'22'';E009°23'18''
Marl Lömühle;EDLM;N51°38'50'';E007°09'49''
Marpingen;;N49°27'11'';E007°02'21''
Meiersberg;;N51°17'56'';E006°57'27''
Meinerzhagen;EDKZ;N51°06'04'';E007°35'59''
Melle Grönegau;EDXG;N52°12'03'';E008°22'39''
Memmingen;ETSM;N47°59'20'';E010°14'22''
Menden Barge;;N51°27'00'';E007°49'57''
Mendig;ETHM;N50°21'56'';E007°18'56''
Mengen Hohentenge;EDTM;N48°03'14'';E009°22'22''
Mengeringhausen;EDVG;N51°22'36'';E008°58'52''
Meppen;ETWM;N52°43'21'';E007°19'36''
Merseburg;;N51°20'56'';E011°56'55''
Meschede Schüre;EDKM;N51°18'08'';E008°14'14''
Michelbach Am Asp;;N50°13'13'';E008°04'12''
Michelstadt Odw;EDFO;N49°40'40'';E008°58'26''
Mindelheim Mattsies;EDMN;N48°06'32'';E010°31'28''
Möcksmühl Korb;;N49°20'40'';E009°24'06''
Mohorn;;N50°59'41'';E013°26'44''
